T_K,p_kPa,h_l_kJkg,h_v_kJkg,rho_l_molm3,rho_v_molm3
240.0,66840.83902889662,408.0697243810455,361.62823361249025,11675.942531221832,26.927774983981802
241.33333333333334,65453.27748195191,406.97522516366996,362.62362416659016,11645.015392122215,28.645494848627425
242.66666666666666,656.2158728712208,282.5739477794575,352.3464647806129,4118.704925412785,430.9495924233782
244.0,677.4619878756753,284.229275376604,353.0347363314296,4100.96903617046,445.8554004333113
245.33333333333334,699.1142622472668,285.89665807473057,353.7196545201755,4082.4775378867407,461.17742632937467
246.66666666666666,721.1713701923459,287.5765496197157,354.4011346685079,4063.1887854977185,476.92731985063386
248.0,743.6315281879226,289.26951425151213,355.0790911629852,4043.0662395735194,493.1171772788219
249.33333333333334,766.4924295671315,290.9761915449195,355.7534388570457,4022.0801407274057,509.759518404986
250.66666666666666,789.7511812899533,292.6972549885123,356.4240945316987,4000.2090662259484,526.8672619898084
252.0,813.4042462344285,294.4333675013547,357.09097833764275,3977.4412564728514,544.453702450462
253.33333333333334,837.4473936229242,296.1851385556765,357.7540151562426,3953.7756075728275,562.5324901109985
254.66666666666666,861.8756585075948,297.95308929127,358.4131358623665,3929.222251273819,581.1176158173911
256.0,886.6833081454113,299.73763405469356,359.0682785676871,3903.802688352515,600.2233972563043
257.3333333333333,911.8638079876383,301.5390892672001,359.7193900982176,3877.5495095306046,619.8644576901632
258.6666666666667,937.4097720552224,303.35772346091625,360.36642825916886,3850.505834659905,640.0556761155812
260.0,963.3128705855618,305.1938655933848,361.00936592870175,3822.724735153806,660.8120682009715
261.3333333333333,989.5636507225563,307.0480918938997,361.6481987904267,3794.269090687558,682.1485256408213
262.6666666666667,1016.1512023310896,308.921513555181,362.28295968190906,3765.212589073261,704.0792921264552
264.0,1043.0625696602049,310.8161870467923,362.9137442494532,3735.6429316936396,726.6169796532464
265.3333333333333,1070.2817701894767,312.7356638232561,363.54075502258246,3705.6687765101765,749.7708204668646
266.6666666666667,1097.7882354532326,314.6856852567318,364.164374316842,3675.432538743315,773.5436976486618
268.0,1125.5544373572843,316.6750123773252,364.7852806644367,3645.131831671604,797.9272912644946
269.3333333333333,1153.5424108555014,318.7163643962208,365.4046287874903,3615.052927187994,822.894409324321
270.6666666666667,1181.6988317184685,320.82744130596905,366.0243193105053,3585.619833776499,848.3872413257926
272.0,1209.9482513551561,323.0320569461388,366.6473909356983,3557.4618149957923,874.2998877750351
273.3333333333333,1238.1840084400183,325.3615628715317,367.27857335843197,3531.499288620049,900.4531250337748
274.6666666666667,1266.2561867849254,327.8570638915811,367.92504044897925,3509.0410680641176,926.5590923089774
276.0,1293.955723666342,330.5734396983268,368.5973914832331,3491.8712772039466,952.1738131331632
277.3333333333333,1320.9934408634897,333.58674270007833,369.3108412356341,3482.2760140780397,976.6372082935835
278.6666666666667,1346.972810249198,337.00648539613354,370.08646613433933,3482.9115345480614,999.0059944661397
280.0,1371.357097993564,340.991990064191,370.95204000885195,3496.358056917916,1017.9993626533462
281.3333333333333,1393.4379817103804,345.7649516964628,371.9414240182843,3524.220780009252,1032.0053426694508
282.6666666666667,1412.325661331325,351.60032350183604,373.090912966437,3565.9400867920335,1039.2272455063278
284.0,1426.9916891595744,358.77997486507684,374.43152829018845,3618.107266137954,1038.031314972787
285.3333333333333,1436.3816712449463,367.5252524562767,375.97930793948655,3675.2494239673033,1027.4179237786109
286.6666666666667,1439.5681984045168,377.9538987608924,377.7291846326063,3731.8184337249863,1007.3572923660145
288.0,1435.8815335844504,390.0805986080198,379.6566763781734,3783.85675539424,978.7667492184114
289.3333333333333,1424.9783658851618,403.83513489253994,381.72554997583677,3829.4144593859733,943.1846066903812
290.6666666666667,1406.8534113952628,419.0709653167332,383.89618502973883,3868.0812006677397,902.3796578656742
292.0,1381.8174357362748,435.56082647625595,386.1312108658395,3900.323113806818,858.069988729505
293.3333333333333,1350.4593040215564,452.9881260891694,388.3980840386781,3926.976685993668,811.7820257065888
294.6666666666667,1313.5994815913505,470.9420975011883,390.6696909341307,3948.952147835324,764.8068897474053
296.0,1272.2373593497691,488.9208053268152,392.9240425977106,3967.090465575026,718.2054641271482
297.3333333333333,1227.4941609445698,506.343269892505,395.1436882777504,3982.1103181779145,672.8313532601587
298.6666666666667,1180.554202752825,522.5703803039705,397.31511618628434,3994.6006810310932,629.3571640791992
300.0,1132.6081942773387,536.9333024059182,399.42821819445214,4005.0332390617978,588.2989603707543
301.3333333333333,1084.8024515045274,548.7674065129031,401.47581804881554,4013.7812473526733,550.0379843189219
302.6666666666667,1038.1973243751495,557.4492369542077,403.453243064832,4021.1385851794726,514.8401844855268
304.0,993.7370269605885,562.4337320820586,405.3579223642736,4027.336496977381,482.87428232405784
305.3333333333333,952.2317155778734,563.2888166795937,407.18900338752144,4032.55733691237,454.22887017201344
306.66666666666663,914.351334178058,559.7246512363528,408.9469863577306,4036.945436866094,428.92870599390045
308.0,880.6296741344268,551.6152280690977,410.63338117584647,4040.615513700107,406.9501217656131
309.3333333333333,851.476377942408,539.010616122614,412.2503932830097,4043.6590912350184,388.23531626780266
310.66666666666663,827.1942930616264,522.1389132254529,413.8006448874341,4046.1493733723205,372.7052596013062
312.0,807.9996090953427,501.3977896551875,415.28693646654233,4048.1449330744667,360.2709681207942
313.3333333333333,794.0425006134966,477.3363180120056,416.71205132678887,4049.6925070649477,350.8429844507024
314.66666666666663,785.426443275101,450.62850470087824,418.0786037786141,4050.8291197819444,344.3389901878931
316.0,782.2248736762136,422.0405047837144,419.3889295290014,4051.5837056425107,340.68956789750285
317.3333333333333,784.4943478911023,392.39387169335566,420.6450154050414,4051.9783557711894,339.8422012324406
318.66666666666663,792.2837738232452,362.52734664221936,421.848464549771,4052.0292824000276,341.76365219909087
320.0,805.639631841294,333.2596330885795,423.0004926981787,4051.7475692820076,346.4408845754143
321.3333333333333,824.6073512755664,305.35535339481146,424.10195101643336,4051.139757665961,353.880712247073
322.66666666666663,849.2292151208168,279.49598762888775,425.1533708710989,4050.2083037489856,364.1083600471626
324.0,879.5392986992647,256.25709771938455,426.15502611961597,4048.9519327597736,377.16511526932
325.3333333333333,915.5560753897466,236.09259686798518,427.1070084324199,4047.365907318647,393.10525309621136
326.66666666666663,957.2734096993746,219.326284718622,428.00931120447405,4045.442221660399,411.9924171343629
328.0,1004.6507294892934,206.15037682648105,428.8619175304849,4043.1697288195674,433.895640846441
