T_K,p_kPa,h_l_kJkg,h_v_kJkg,rho_l_molm3,rho_v_molm3
240.0,66840.83902889662,408.0697243810455,361.62823361249025,11675.942531221832,26.927774983981802
241.109243697479,65685.20798298322,407.1573334367339,362.45624292265,11650.21949196293,28.350901661915145
242.21848739495798,649.1657021750167,282.02018254595095,352.1143744745007,4124.504702027914,426.03073329752175
243.32773109243698,666.6988277301401,283.3931729374615,352.68812256534494,4110.003182242008,438.2885554377892
244.43697478991598,684.5134242195869,284.7743809801703,353.2595788246427,4094.9941523651496,450.83049479185973
245.54621848739495,702.60886729033,286.16402341185596,353.82869513410657,4079.4523226674396,463.66310296272275
246.65546218487395,720.9843342436963,287.5623792702947,354.3954225054271,4063.3543028448476,476.7931519940036
247.76470588235293,739.6387781326364,288.96977827810696,354.95971160317276,4046.6792785664206,490.22762626111745
248.87394957983193,758.5709016223319,290.3865865587328,355.5215133082691,4029.409679548035,503.9737131445999
249.98319327731093,777.7791315663335,291.8131902371467,356.08077930128803,4011.5318090184032,518.0387931889272
251.0924369747899,797.2615952416279,293.24997776844504,356.63746264372924,3993.036403256428,532.4304305147451
252.2016806722689,817.0160990588947,294.69732216476285,357.19151833767575,3973.9190911636933,547.156364204732
253.3109243697479,837.0401102711845,296.1555646620387,357.7429038514391,3954.18072813021,562.2245011527123
254.42016806722688,857.3307416860695,297.62500179411086,358.2915796136425,3933.8275862470064,577.6429103481787
255.52941176470588,877.8847385623104,299.10587833794324,358.8375095043047,3912.8713947053766,593.419817612063
256.6386554621849,898.698465635528,300.5983891758368,359.3806614141371,3891.3292406003447,609.563598182473
257.74789915966386,919.7678904313422,302.10269379474914,359.9210080098552,3869.2233622065146,626.0827619536719
258.85714285714283,941.0885565149567,303.6189478927804,360.4585279439909,3846.580895490242,642.9859221511084
259.96638655462186,962.6555368915315,305.14735733057427,360.99320789597505,3823.4336722309695,660.2817321723802
261.07563025210084,984.4633531903626,306.68826033184973,361.5250460444489,3799.818217524584,677.9787664352815
262.1848739495798,1006.5058403277027,308.2422442076817,362.0540578700435,3775.7761592508773,696.0853083266735
263.29411764705884,1028.7759288915986,309.8103026831923,362.58028559787556,3751.355346259527,714.6089904917935
264.4033613445378,1051.2653084805663,311.394038829054,363.1038131364921,3726.612078918927,733.5562082876314
265.5126050420168,1073.9639247831344,312.99591637305866,363.6247890814618,3701.6149863066285,752.9311946472208
