status,T_K,P_Pa,rho_l_molm3,rho_v_molm3,x1_liq,y1_vap,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,notes
DIVERGED,250.0,24042711.74412172,3672.1472127170114,964.1448533535468,0.0026453114540738493,0.9385037942295681,276072.558498905,39945.7433867798,1.9178544368667967,0.021510679595079265,65,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
DIVERGED,252.82051282051282,8310462.706461706,3831.2186362907573,3832.749761274688,0.9381487752456233,0.9385037942295681,47859.890672757894,47781.20938140811,4.618623243725043e-08,5.475782764161775e-08,142,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,255.64102564102564,32324357.935152628,3681.825646723381,964.2633209705328,0.0003545451879434538,0.9385037942295681,216951.12643836866,40533.458457261826,1.935078467371481,0.03135243799864769,57,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,258.46153846153845,34880308.541396715,3682.9043152332615,1069.1126168807903,0.0002153276302041427,0.9385037942295681,169642.79501604725,40514.354664408005,1.9384266567399115,0.059946056316447796,67,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,261.28205128205127,1142655.8359783364,7317.620662082908,1081.658285425592,0.9529748473142466,0.9385037942295681,36010.07746891082,40767.008120128994,0.06316001276925103,0.0335857237568259,83,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,264.1025641025641,144678541.80782694,3809.7787267707477,11552.957405573095,1.7795155391641467e-05,0.9385037942295681,76884.79985620563,50504.41937656384,1.42749784056928e-10,1.5557272314433303e-08,76,The solution converged.
DIVERGED,266.9230769230769,37352714.94847185,3684.447567904009,1048.0361255867963,0.00014764557159013583,0.9385037942295681,3079.751310319235,41458.18909159922,1.9366982960578942,0.026846999949616777,53,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
DIVERGED,269.7435897435897,138852028.39749053,3807.3498857139334,11485.12033938063,3.490779428011821e-05,0.9385037942295681,-26183.48730733666,50528.079789052455,1.245514546389075e-09,6.341945776471978e-08,50,The solution converged.
DIVERGED,272.56410256410254,33834898.175439104,3680.5967694591504,1074.5892515915698,0.00039131576275331997,0.9385037942295681,-90575.82241800829,41979.05798159985,1.9257643570630218,0.029511170284778343,65,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
DIVERGED,275.38461538461536,10797276.205561154,3804.7938637582047,3862.7065459435767,0.9237275482507473,0.9385037942295681,26810.564341065758,29545.787498299454,5.801075797785536e-05,5.065971755231082e-05,138,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,278.20512820512823,9799115.43851206,3843.717173231769,3851.187201323233,0.9368531952168527,0.9385037942295681,28389.837726518326,28736.625198110356,1.0716153261454908e-07,8.05865089839969e-08,165,The solution converged.
DIVERGED,281.02564102564105,23481676.487077985,3665.001880481334,1164.686428890255,0.005498027152482572,0.9385037942295681,-160626.07341481635,42638.81661125918,1.8826334924080683,0.01745218254461908,47,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,283.84615384615387,19329877.58917758,3655.972106363494,1225.7554296282024,0.015438041416802481,0.9385037942295681,-163258.7222738375,42771.26232577085,1.853139923618078,0.0592798252597143,48,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,286.6666666666667,16136577.712997474,3650.6407682380477,1254.1729183786144,0.03043029063039092,0.9385037942295681,-156475.38315265722,43023.602417565315,1.8184163200634906,0.10374086854831491,64,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
DIVERGED,289.4871794871795,15324273.388524719,4527.452914595594,4527.452914670822,0.9385037942280589,0.9385037942295681,42690.759746372925,42690.75974693093,3.2818142664366443e-15,5.9181864391649484e-09,65,The solution converged.
DIVERGED,292.3076923076923,8033622.725599191,3630.6265970489594,1214.1888227673692,0.2581890086108319,0.9385037942295681,-90441.38364037487,43858.75143540866,1.6123374690136925,0.4200528055391958,63,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
DIVERGED,295.12820512820514,4817623.826386193,3615.869637094749,1582.6973571090737,0.40337511369195944,0.9385037942295681,-51601.50038379663,43082.278245806585,1.3826351770952579,0.49072432592324056,63,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations."
CONVERGED,297.94871794871796,466199.3417758749,3550.739146723782,205.5134154197215,0.4500011722727146,0.9385037942295681,-33176.78587618051,47041.47138593051,5.468681140342624e-14,3.268657573753264e-09,53,The solution converged.
DIVERGED,300.7692307692308,10079490.550869808,3809.778058881119,513.6072346702879,0.4500011722727146,0.9385037942295681,-10727.943365314328,46594.09142696653,1.7963380335091328,2.0003221614948377,36,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,303.5897435897436,10271063.214917684,3876.32479510556,454.57756285650476,0.4500011722727146,0.9385037942295681,2606.425705369748,47037.97131039633,1.8160023969512327,2.59430365981955,34,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
DIVERGED,306.4102564102564,9626303.997659469,3927.842256154318,407.28125479770677,0.4500011722727146,0.9385037942295681,13214.98181070552,47452.024900244855,1.8182410763937982,2.923130243614925,35,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
CONVERGED,309.2307692307692,792424.3735151164,3897.6135814396716,356.93023858191407,0.8804771988543401,0.9385037942295681,51177.418769297205,47871.65517551568,7.432634045648469e-10,7.419080042688286e-09,63,The solution converged.
CONVERGED,312.05128205128204,781245.4163345045,3966.0437218117577,346.5176079172887,0.9124863212724981,0.9385037942295681,51444.4316105717,48198.51463906783,4.141579578521058e-09,1.4562166648583888e-08,31,The solution converged.
CONVERGED,314.87179487179486,776876.4909133948,4001.295303848148,339.94883795185314,0.9304020391274271,0.9385037942295681,47809.60177554044,48517.305274958504,6.055946761169361e-10,1.2171114108515844e-08,18,The solution converged.
