T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
240.0,CONVERGED,4152.091960918474,402.3423721319507,614945.5164182463,31851.630493511933,40024.061399289385,3.975509525794947e-15,4.842656730763476e-16,12,True,attempt=1; line-search rejected step
240.66331658291458,CONVERGED,4144.032215649925,409.3115132417918,625058.8620185403,31944.056809497037,40063.52157792046,6.3323971271018945e-15,4.829309393244458e-16,9,False,attempt=1; line-search rejected step
241.32663316582915,CONVERGED,4135.814110727972,416.37695444227836,635273.1599031386,32036.80907300932,40102.89276063157,4.5813096308320695e-15,2.8329620172911534e-16,4,False,attempt=1; line-search rejected step
241.98994974874373,CONVERGED,4127.431808337001,423.53996887719705,645588.3634787328,32129.88781361803,40142.173877357716,3.606487613860773e-16,4.520314574911217e-16,6,False,attempt=1; line-search rejected step
242.6532663316583,CONVERGED,4118.879491577266,430.8018594411816,656004.4090618836,32223.29471558585,40181.36382896233,1.7746118809386367e-16,1.5777852475625123e-15,4,False,attempt=1; line-search rejected step
243.31658291457288,CONVERGED,4110.151407213434,438.16395865391644,666521.2143100796,32317.032595285105,40220.46148995576,2.7945774406580486e-15,2.2478342489614267e-16,6,False,attempt=1; line-search rejected step
243.97989949748742,CONVERGED,4101.241911292813,445.6276284192159,677138.6765348762,32411.105363282735,40259.465711647215,3.0946036100138472e-15,0.0,6,False,attempt=1; line-search rejected step
244.643216080402,CONVERGED,4092.1455172099695,453.19425967406784,687856.6709114334,32505.5179705818,40298.37532570729,0.0,1.6767336445451117e-16,8,False,attempt=1; line-search rejected step
245.30653266331657,CONVERGED,4082.856945706696,460.8652719352018,698675.0486013183,32600.27633879685,40337.189148110236,3.33245969095325e-16,1.3377597632093448e-15,7,False,attempt=1; line-search rejected step
245.96984924623115,CONVERGED,4073.371176211747,468.6421127537151,709593.6348083939,32695.387274373148,40375.90598341615,1.640591404943613e-16,5.558967390634566e-16,7,False,attempt=1; line-search rejected step
246.63316582914572,CONVERGED,4063.6834988454652,476.5262570908828,720612.2267898939,32790.85836733549,40414.524629344996,0.0,3.3264099735547766e-16,5,False,attempt=1; line-search rejected step
247.2964824120603,CONVERGED,4053.7895663444706,484.51920663099736,731730.5918469364,32886.69787547023,40453.04388158683,3.181917583439961e-16,2.211658423447783e-15,6,False,attempt=1; line-search rejected step
247.95979899497488,CONVERGED,4043.685445103667,492.6224890493754,742948.4653202265,32982.91459530259,40491.462538785796,1.566936702356029e-16,4.41148404404638e-16,7,False,attempt=1; line-search rejected step
248.62311557788945,CONVERGED,4033.3676644912675,500.8376572555824,754265.5486175653,33079.51772172942,40529.77940763083,1.543426211634661e-16,3.739757223078076e-15,6,False,attempt=1; line-search rejected step
249.28643216080403,CONVERGED,4022.8332635702177,509.16628863326423,765681.5072999026,33176.51669870628,40567.99330798323,2.4326631000915566e-15,1.0970018377551228e-16,5,False,attempt=1; line-search rejected step
249.9497487437186,CONVERGED,4012.079834360236,517.6099842980616,777195.9692513952,33273.921063965616,40606.10307797245,1.0485222325245363e-15,0.0,5,False,attempt=1; line-search rejected step
